Product Name,Brand,Price,Rating,Link
Quilted Minaudiere with Chain Strap,Berrypeckers,₹720,1.5,https://www.ajio.com/berrypeckers-quilted-minaudiere-with-chain-strap/p/469455893_black
Women Logo Print Handbag with Zip Closure,Aisna,₹600,No Rating,https://www.ajio.com/aisna-women-logo-print-handbag-with-zip-closure/p/467097352_maroon
Tote Bag with Dual Grab Handles,CAPRESE,"₹1,150",2.7,https://www.ajio.com/caprese-tote-bag-with-dual-grab-handles/p/469202687_tan
Women Reptilian Pattern Tote Bag,CAPRESE,"₹1,049",3.2,https://www.ajio.com/caprese-women-reptilian-pattern-tote-bag/p/4933854050_multi
Women Tote Bag with Metal Accent Logo,CAPRESE,"₹1,350",4.3,https://www.ajio.com/caprese-women-tote-bag-with-metal-accent-logo/p/460820717_aqua
Dual Handle Shoulder Bag,Berrypeckers,₹720,3,https://www.ajio.com/berrypeckers-dual-handle-shoulder-bag/p/469385539_brown
No Name,No Brand,No Price,No Rating,No Link
Women Tote Bag with Sling Strap,CAPRESE,"₹1,349",4,https://www.ajio.com/caprese-women-tote-bag-with-sling-strap/p/469520333_blue
Women Croc-Embossed Satchel,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-croc-embossed-satchel/p/469520378_green
Women Floral Print Sling Bag with Snap-Button Closure ,CAPRESE,"₹1,311",No Rating,https://www.ajio.com/caprese-women-floral-print-sling-bag-with-snap-button-closure-/p/467336998_brown
Women Printed Tote Bag,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-printed-tote-bag/p/469520285_coral
Sling Bag with Detachable Strap,CAPRESE,"₹1,259",4.5,https://www.ajio.com/caprese-sling-bag-with-detachable-strap/p/469431148_pink
Tote Bag with Metal Embellishments,CAPRESE,"₹1,640",3,https://www.ajio.com/caprese-tote-bag-with-metal-embellishments/p/460892146_navy
Sling Bag with Detachable Strap,CAPRESE,"₹1,154",3.4,https://www.ajio.com/caprese-sling-bag-with-detachable-strap/p/469431161_grey
Women Croc-Embossed Shoulder Bag,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-croc-embossed-shoulder-bag/p/469520376_orange
Reptilian Pattern Tote Bag,CAPRESE,"₹1,399",2,https://www.ajio.com/caprese-reptilian-pattern-tote-bag/p/469431176_purple
No Name,No Brand,No Price,No Rating,No Link
Tote Bag with Detachable Sling Strap,CAPRESE,"₹1,404",No Rating,https://www.ajio.com/caprese-tote-bag-with-detachable-sling-strap/p/460354852_blush
Women Embroidered Sling Bag,CAPRESE,₹910,No Rating,https://www.ajio.com/caprese-women-embroidered-sling-bag/p/4933853710_multi
Women Tote Bag with Metal Logo,CAPRESE,"₹1,400",3.8,https://www.ajio.com/caprese-women-tote-bag-with-metal-logo/p/4933853870_multi
Women Polka-Dotted Tote Bag,CAPRESE,"₹1,400",No Rating,https://www.ajio.com/caprese-women-polka-dotted-tote-bag/p/4933854250_multi
Women Tote Bag with Detachable Coin Pouch,CAPRESE,"₹1,049",3.3,https://www.ajio.com/caprese-women-tote-bag-with-detachable-coin-pouch/p/469537853_yellow
Sling Bag with Printed Handles,CAPRESE,₹943,3.8,https://www.ajio.com/caprese-sling-bag-with-printed-handles/p/469062885_green
Reptilian Pattern Sling Bag,Berrypeckers,₹540,3.6,https://www.ajio.com/berrypeckers-reptilian-pattern-sling-bag/p/469385471_cherry
Women Floral Print Sling Bag with Applique Logo,CAPRESE,"₹1,049",No Rating,https://www.ajio.com/caprese-women-floral-print-sling-bag-with-applique-logo/p/469537875_lilac
Women Tote Bag with Tassel Accent,CAPRESE,₹979,4.7,https://www.ajio.com/caprese-women-tote-bag-with-tassel-accent/p/469520467_tan
No Name,No Brand,No Price,No Rating,No Link
Quilted Tote Bag,Berrypeckers,₹660,1,https://www.ajio.com/berrypeckers-quilted-tote-bag/p/469385501_nude
Quilted Tote Bag,Berrypeckers,₹689,No Rating,https://www.ajio.com/berrypeckers-quilted-tote-bag/p/469385557_cream
Women Tote Bag,CAPRESE,₹828,No Rating,https://www.ajio.com/caprese-women-tote-bag/p/469431113_coral
Reptilian Pattern Tote Bag,Berrypeckers,₹660,No Rating,https://www.ajio.com/berrypeckers-reptilian-pattern-tote-bag/p/469385493_rose
Sling Bag with Detachable Strap,Berrypeckers,₹560,No Rating,https://www.ajio.com/berrypeckers-sling-bag-with-detachable-strap/p/469455873_nude
Quilted Sling Bag with Metal Pull-Through Chain,Berrypeckers,₹560,2.1,https://www.ajio.com/berrypeckers-quilted-sling-bag-with-metal-pull-through-chain/p/460667846_cherry
Shoulder Bag with Metal Logo Accent,Berrypeckers,₹660,No Rating,https://www.ajio.com/berrypeckers-shoulder-bag-with-metal-logo-accent/p/469455863_gunmetal
Tote Bag with Metal Logo Accent,Berrypeckers,₹660,No Rating,https://www.ajio.com/berrypeckers-tote-bag-with-metal-logo-accent/p/469455862_nude
Quilted Sling Bag with Metal Pull-Through Chain,Berrypeckers,₹560,3.5,https://www.ajio.com/berrypeckers-quilted-sling-bag-with-metal-pull-through-chain/p/460667848_duskygreen
No Name,No Brand,No Price,No Rating,No Link
Panelled Backpack with Signature Branding,CAPRESE,"₹1,620",No Rating,https://www.ajio.com/caprese-panelled-backpack-with-signature-branding/p/460354756_pink
Reptilian Pattern Sling Bag,Berrypeckers,₹540,No Rating,https://www.ajio.com/berrypeckers-reptilian-pattern-sling-bag/p/469385465_beige
Women Sling Bag with Detachable Chain Strap,Aisna,₹420,2,https://www.ajio.com/aisna-women-sling-bag-with-detachable-chain-strap/p/466838277_green
Sling Bag with Detachable Strap,CAPRESE,"₹1,155",4.5,https://www.ajio.com/caprese-sling-bag-with-detachable-strap/p/469446144_green
Reptilian Pattern Tote Bag,Berrypeckers,₹675,4.5,https://www.ajio.com/berrypeckers-reptilian-pattern-tote-bag/p/469299863_mustard
Colourblock Tote Bag with Snap-Button Closure,Berrypeckers,₹600,No Rating,https://www.ajio.com/berrypeckers-colourblock-tote-bag-with-snap-button-closure/p/469299887_mustard
Reptilian Pattern Sling Bag,Berrypeckers,₹540,No Rating,https://www.ajio.com/berrypeckers-reptilian-pattern-sling-bag/p/460934127_tan
Quilted Sling Bag with Metal Pull-Through Chain,Berrypeckers,₹560,2.9,https://www.ajio.com/berrypeckers-quilted-sling-bag-with-metal-pull-through-chain/p/460667847_graygold
Snakeskin Print Sling Bag with Chain Strap,Berrypeckers,"₹1,600",No Rating,https://www.ajio.com/berrypeckers-snakeskin-print-sling-bag-with-chain-strap/p/460934123_tan
No Name,No Brand,No Price,No Rating,No Link
Quilted Sling Bag with Metal Logo Accent,Berrypeckers,₹560,No Rating,https://www.ajio.com/berrypeckers-quilted-sling-bag-with-metal-logo-accent/p/469455898_gold
Women Sling Bag with Chain Strap,Aisna,₹420,2.3,https://www.ajio.com/aisna-women-sling-bag-with-chain-strap/p/466515088_blue
Reptilian Pattern Tote Bag,Berrypeckers,₹675,4.5,https://www.ajio.com/berrypeckers-reptilian-pattern-tote-bag/p/469299873_peach
Sling Bag with Detachable Strap,CAPRESE,"₹1,155",4.6,https://www.ajio.com/caprese-sling-bag-with-detachable-strap/p/469446145_skin
Gazza Reptilian Patterned Tote Bag,CAPRESE,"₹1,350",3.3,https://www.ajio.com/caprese-gazza-reptilian-patterned-tote-bag/p/460513009_burgundy
Women Shoulder Bag with Handbag,ELLE,"₹4,499",No Rating,https://www.ajio.com/elle-women-shoulder-bag-with-handbag/p/467273436_black
Quilted Backpack with Adjustable Straps,Berrypeckers,₹630,3.3,https://www.ajio.com/berrypeckers-quilted-backpack-with-adjustable-straps/p/460833831_gunmetal
Dual Handle Shoulder Bag,Berrypeckers,₹720,4,https://www.ajio.com/berrypeckers-dual-handle-shoulder-bag/p/469385537_nude
Women Houndstooth Handbag with Detachable Shoulder Strap,ELLE,"₹4,499",No Rating,https://www.ajio.com/elle-women-houndstooth-handbag-with-detachable-shoulder-strap/p/467151100_black
No Name,No Brand,No Price,No Rating,No Link
Women Satchel with Detachable Strap ,CAPRESE,"₹2,659",No Rating,https://www.ajio.com/caprese-women-satchel-with-detachable-strap-/p/467301389_black
Women Logo Embossed Tote Bag,ELLE,"₹4,499",No Rating,https://www.ajio.com/elle-women-logo-embossed-tote-bag/p/466982576_black
Sling Bag with Adjustable Strap,CAPRESE,"₹1,505",4.4,https://www.ajio.com/caprese-sling-bag-with-adjustable-strap/p/469202682_beige
Women Handbag with Adjustable Strap,ELLE,"₹4,499",No Rating,https://www.ajio.com/elle-women-handbag-with-adjustable-strap/p/467177037_beige
Quilted Tote Bag,Berrypeckers,₹689,3,https://www.ajio.com/berrypeckers-quilted-tote-bag/p/469385551_black
Backpack with Zip Closure,CAPRESE,"₹1,620",5,https://www.ajio.com/caprese-backpack-with-zip-closure/p/460354757_navy
Shoulder Bag with Zip Closure,CAPRESE,"₹1,188",5,https://www.ajio.com/caprese-shoulder-bag-with-zip-closure/p/469278028_mint
Women Satchel with Detachable Strap ,CAPRESE,"₹3,299",No Rating,https://www.ajio.com/caprese-women-satchel-with-detachable-strap-/p/467301400_blue
Women Typographic Printed Handbag with Detachable Strap,ELLE,"₹4,499",No Rating,https://www.ajio.com/elle-women-typographic-printed-handbag-with-detachable-strap/p/467151098_tan
No Name,No Brand,No Price,No Rating,No Link
Women Logo Embossed Shoulder Bag,ELLE,"₹3,824",No Rating,https://www.ajio.com/elle-women-logo-embossed-shoulder-bag/p/467094470_black
Sling Bag with Detachable Strap,CAPRESE,"₹1,380",No Rating,https://www.ajio.com/caprese-sling-bag-with-detachable-strap/p/469202674_majenta
Women Printed Tote Bag,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-printed-tote-bag/p/469520338_coral
Women Floral Print Sling Bag,CAPRESE,"₹1,399",No Rating,https://www.ajio.com/caprese-women-floral-print-sling-bag/p/467139798_teal
Textured Shoulder Bag with Embossed Brand,CAPRESE,"₹1,890",3,https://www.ajio.com/caprese-textured-shoulder-bag-with-embossed-brand/p/469202657_plum
Textured Shoulder Bag,CAPRESE,"₹1,320",No Rating,https://www.ajio.com/caprese-textured-shoulder-bag/p/460602132_black
Women Reptilian Pattern Tote Bag,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-reptilian-pattern-tote-bag/p/4933854310_multi
Double Handle Tote Bag,Berrypeckers,₹630,No Rating,https://www.ajio.com/berrypeckers-double-handle-tote-bag/p/469455905_silver
Reptilian Pattern Tote Bag,CAPRESE,"₹1,320",3.6,https://www.ajio.com/caprese-reptilian-pattern-tote-bag/p/4925041580_multi
No Name,No Brand,No Price,No Rating,No Link
Quilted Sling Bag with Detachable Strap,Berrypeckers,₹720,No Rating,https://www.ajio.com/berrypeckers-quilted-sling-bag-with-detachable-strap/p/469385479_rosegold
Women Satchel Bag with Detachable Strap,CAPRESE,"₹1,349",2.5,https://www.ajio.com/caprese-women-satchel-bag-with-detachable-strap/p/469520466_brown
Women Printed Tote Bag,CAPRESE,"₹1,259",No Rating,https://www.ajio.com/caprese-women-printed-tote-bag/p/4933853790_multi
Satchel Bag with Detachable Sling Strap,CAPRESE,"₹1,259",5,https://www.ajio.com/caprese-satchel-bag-with-detachable-sling-strap/p/469431149_grey
Tote Bag with Detachable Strap,Berrypeckers,₹600,3.4,https://www.ajio.com/berrypeckers-tote-bag-with-detachable-strap/p/460833835_cream
Tote Bag with External Zip Pocket,CAPRESE,"₹1,189",2.5,https://www.ajio.com/caprese-tote-bag-with-external-zip-pocket/p/469431177_coral
Women Printed Sling Bag,CAPRESE,"₹1,049",No Rating,https://www.ajio.com/caprese-women-printed-sling-bag/p/4933853430_multi
Reptilian Pattern Tote Bag,Berrypeckers,₹675,No Rating,https://www.ajio.com/berrypeckers-reptilian-pattern-tote-bag/p/469299865_duskygreen
Women Printed Tote Bag,CAPRESE,"₹1,079",No Rating,https://www.ajio.com/caprese-women-printed-tote-bag/p/469537845_lilac
No Name,No Brand,No Price,No Rating,No Link
Sling Bag with Metal Accent,CAPRESE,"₹1,200",No Rating,https://www.ajio.com/caprese-sling-bag-with-metal-accent/p/469202632_peach
Tote Bag with Snap-Button Closure,Berrypeckers,₹600,No Rating,https://www.ajio.com/berrypeckers-tote-bag-with-snap-button-closure/p/469299895_royalblue
Women Tote Bag with Metal Logo,CAPRESE,"₹1,400",No Rating,https://www.ajio.com/caprese-women-tote-bag-with-metal-logo/p/4933853890_multi
Women Animal Print Sling Bag,CAPRESE,₹979,No Rating,https://www.ajio.com/caprese-women-animal-print-sling-bag/p/4933853500_multi
Shoulder Bag with Tassel Detailing,CAPRESE,₹690,No Rating,https://www.ajio.com/caprese-shoulder-bag-with-tassel-detailing/p/460322460_aqua
Women Sling Bag with Bow Accent,CAPRESE,"₹1,225",4,https://www.ajio.com/caprese-women-sling-bag-with-bow-accent/p/4933853270_multi
